2022-03-10 23:24:43: Lower Threshold = 65; Upper Threshold = 95; Battery Level = 94.2%.
2022-03-10 23:25:43: Lower Threshold = 65; Upper Threshold = 95; Battery Level = 94.4%.
2022-03-10 23:26:43: Lower Threshold = 65; Upper Threshold = 95; Battery Level = 94.5%.
2022-03-10 23:27:43: Lower Threshold = 65; Upper Threshold = 95; Battery Level = 94.6%.
2022-03-10 23:28:43: Lower Threshold = 65; Upper Threshold = 95; Battery Level = 94.8%.
2022-03-10 23:29:43: Lower Threshold = 65; Upper Threshold = 95; Battery Level = 94.9%.
2022-03-10 23:30:43: Lower Threshold = 65; Upper Threshold = 95; Battery Level = 95.1%.
2022-03-10 23:31:44: Lower Threshold = 65; Upper Threshold = 95; Battery Level = 95.2%.
2022-03-10 23:32:44: Lower Threshold = 65; Upper Threshold = 95; Battery Level = 95.3%.
2022-03-10 23:32:54: Lower Threshold = 65; Upper Threshold = 95; Battery Level = 95.4%.
2022-03-10 23:33:54: Lower Threshold = 65; Upper Threshold = 95; Battery Level = 95.5%.
2022-03-10 23:34:55: Lower Threshold = 65; Upper Threshold = 95; Battery Level = 95.6%.
2022-03-10 23:55:00: Lower Threshold = 65; Upper Threshold = 95; Battery Level = 97.9%.
2022-03-10 23:56:00: Lower Threshold = 65; Upper Threshold = 95; Battery Level = 98.0%.
2022-03-10 23:57:00: Lower Threshold = 65; Upper Threshold = 95; Battery Level = 98.2%.
2022-03-10 23:58:00: Lower Threshold = 65; Upper Threshold = 95; Battery Level = 98.2%.
2022-03-10 23:59:00: Lower Threshold = 65; Upper Threshold = 95; Battery Level = 98.3%.
2022-03-11 00:00:00: Lower Threshold = 65; Upper Threshold = 95; Battery Level = 98.5%.
2022-03-11 00:00:57: Lower Threshold = 65; Upper Threshold = 95; Battery Level = 98.0%.
2022-03-11 00:01:57: Lower Threshold = 65; Upper Threshold = 95; Battery Level = 97.9%.
2022-03-11 00:02:57: Lower Threshold = 65; Upper Threshold = 95; Battery Level = 98.1%.
2022-03-11 00:03:57: Lower Threshold = 65; Upper Threshold = 95; Battery Level = 97.8%.
2022-03-11 00:04:57: Lower Threshold = 65; Upper Threshold = 95; Battery Level = 96.9%.
2022-03-11 00:05:57: Lower Threshold = 65; Upper Threshold = 95; Battery Level = 96.1%.
2022-03-11 00:06:57: Lower Threshold = 65; Upper Threshold = 95; Battery Level = 95.3%.
2022-03-11 00:07:58: Lower Threshold = 65; Upper Threshold = 95; Battery Level = 94.5%.
2022-03-11 00:08:58: Lower Threshold = 65; Upper Threshold = 95; Battery Level = 93.6%.
2022-03-11 00:09:58: Lower Threshold = 65; Upper Threshold = 95; Battery Level = 92.8%.
